City,Count
Los Angeles,293
San Diego,285
San Jose,112
Sacramento,108
San Francisco,104
Fresno,61
Long Beach,60
Oakland,52
Escondido,51
Stockton,44
Fallbrook,43
Glendale,40
Bakersfield,39
Temecula,38
Riverside,32
Berkeley,32
Pasadena,30
Whittier,30
Anaheim,28
San Bernardino,28
Modesto,28
Santa Barbara,28
Irvine,28
Torrance,25
Inglewood,25
Burbank,25
Santa Monica,25
Santa Rosa,24
Santa Ana,24
Chula Vista,22
Rancho Cucamonga,20
North Hollywood,20
Van Nuys,20
Garden Grove,20
Orange,20
Salinas,20
Corona,20
Lakewood,17
Redwood City,16
Palo Alto,16
Huntington Beach,16
Moreno Valley,16
Newport Beach,16
Palmdale,16
Santa Cruz,16
San Mateo,16
Concord,16
Fullerton,16
Hayward,16
Fremont,16
Vallejo,16
Gardena,15
Downey,15
Covina,15
Beverly Hills,15
Compton,15
Ontario,15
Pomona,15
West Covina,15
El Cajon,12
Sunnyvale,12
Sun City,12
Los Gatos,12
Novato,12
Fontana,12
Lancaster,12
Walnut Creek,12
Mountain View,12
Redding,12
Richmond,12
Oxnard,12
San Leandro,12
Santa Maria,12
Hemet,12
Roseville,12
Santa Clara,12
Ventura,12
Chico,12
Visalia,11
Oceanside,11
La Mesa,10
Woodland Hills,10
El Monte,10
Sherman Oaks,10
San Pedro,10
Culver City,10
Northridge,10
Encino,10
Carson,10
Malibu,10
Upland,10
Arcadia,10
Glendora,10
Monterey Park,10
Canoga Park,10
Thousand Oaks,10
Buena Park,10
Valencia,10
Redondo Beach,10
Spring Valley,10
Alhambra,9
Indio,9
La Puente,9
Desert Hot Springs,9
Vista,9
Palm Springs,9
San Gabriel,9
Rancho Santa Fe,9
Manteca,8
Rialto,8
Vacaville,8
Citrus Heights,8
Yorba Linda,8
Tustin,8
Oroville,8
Palm Desert,8
Woodland,8
Mission Viejo,8
Carlsbad,8
Madera,8
Davis,8
San Rafael,8
Pleasanton,8
Victorville,8
Alameda,8
Los Altos,8
Brea,8
Castro Valley,8
Petaluma,8
Grass Valley,8
San Jacinto,8
Danville,8
Elk Grove,8
Merced,8
Yuba City,8
Rocklin,8
Murrieta,8
Rancho Cordova,8
West Sacramento,8
Frazier Park,8
San Clemente,8
Auburn,8
Lake Elsinore,8
San Marcos,8
Daly City,8
Turlock,8
Napa,8
Perris,8
